episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0566,12049.667052501649,10296.776327300026,79.67763273000256,0.0,12129.344685231652,14.8,0.58,0.0,0.0,5.0
1,0,train_0375,12548.567493407432,10452.315914332365,95.23159143323647,0.0,12643.799084840668,16.74,0.64,0.0,0.0,5.0
2,0,train_0410,12779.7936697857,10462.884431693674,96.28844316936738,0.0,12876.082112955068,15.3,0.64,0.0,0.0,5.0
3,0,train_0538,12756.962469336368,10604.631888108457,110.46318881084572,0.0,12867.425658147213,15.86,0.66,0.0,0.0,5.0
4,0,train_0346,12680.066163317912,10716.490122574887,121.64901225748872,0.0,12801.7151755754,15.6,0.68,0.0,0.0,5.0
5,0,train_0465,12409.286763852793,10726.833179482412,122.68331794824117,0.0,12531.970081801035,18.42,0.62,0.0,0.0,5.0
6,0,train_0500,12259.333982877843,10101.959573101762,60.19595731017617,0.0,12319.529940188018,15.78,0.74,0.0,0.0,5.0
7,0,train_0135,12784.329132534713,10130.873730090385,63.087373009038494,0.0,12847.416505543752,16.34,0.76,0.0,0.0,5.0
8,0,train_0033,12686.07268375779,10390.642344195523,89.0642344195523,0.0,12775.136918177343,15.32,0.58,0.0,0.0,5.0
9,0,train_0180,12506.082354334209,10683.059848584226,118.30598485842256,0.0,12624.388339192632,17.58,0.7,0.0,0.0,5.0
10,0,train_0171,12849.408506857195,10855.011235036229,135.5011235036229,0.0,12984.909630360818,16.08,0.56,0.0,0.0,5.0
11,0,train_0524,11980.469885779254,9969.758216486001,46.975821648600146,0.0,12027.445707427854,16.5,0.58,0.0,0.0,5.0
12,0,train_0547,13108.525504465562,10381.47927648357,88.14792764835693,0.0,13196.67343211392,18.18,0.58,0.0,0.0,5.0
13,0,train_0003,12280.66140188741,10136.825304373033,63.682530437303285,0.0,12344.343932324713,17.52,0.64,0.0,0.0,5.0
14,0,train_0299,12974.651273513697,10026.673633745535,52.6673633745535,0.0,13027.31863688825,13.66,0.66,0.0,0.0,5.0
15,0,train_0492,12287.915875354438,10515.754216132027,101.5754216132027,0.0,12389.49129696764,16.48,0.58,0.0,0.0,5.0
16,0,train_0078,12497.069980661923,10260.640336135435,76.06403361354351,0.0,12573.134014275467,14.54,0.62,0.0,0.0,5.0
17,0,train_0478,12520.931399124984,10423.979729816028,92.39797298160283,0.0,12613.329372106586,16.62,0.74,0.0,0.0,5.0
18,0,train_0071,12262.030506473242,10904.043333870266,140.4043333870266,0.0,12402.434839860269,13.26,0.74,0.0,0.0,5.0
19,0,train_0280,12540.202506156444,10425.6444323658,92.56444323657998,0.0,12632.766949393024,16.22,0.58,0.0,0.0,5.0
