episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0511,12365.04593062155,10195.480019012062,69.54800190120623,0.0,12434.593932522757,15.16,0.6,0.0,0.0,5.0
1,0,train_0107,12678.622646357646,10366.867956002752,86.68679560027522,0.0,12765.309441957921,16.4,0.62,0.0,0.0,5.0
2,0,train_0015,12399.216724677064,10258.554655134607,75.8554655134607,0.0,12475.072190190525,15.34,0.76,0.0,0.0,5.0
3,0,train_0383,12055.572998900254,10097.946418864925,59.79464188649254,0.0,12115.367640786746,16.48,0.78,0.0,0.0,5.0
4,0,train_0219,12303.248827401225,10505.38000970172,100.53800097017194,0.0,12403.786828371396,16.98,0.72,0.0,0.0,5.0
5,0,train_0280,12651.283608646661,10316.749549378017,81.67495493780172,0.0,12732.958563584463,16.68,0.66,0.0,0.0,5.0
6,0,train_0047,12354.693583549875,10080.941435813707,58.09414358137074,0.0,12412.787727131246,14.74,0.7,0.0,0.0,5.0
7,0,train_0222,12673.302247628999,10374.51194987372,87.45119498737205,0.0,12760.753442616371,17.52,0.6,0.0,0.0,5.0
8,0,train_0386,12427.21338652777,10450.029695793466,95.00296957934661,0.0,12522.216356107117,13.56,0.58,0.0,0.0,5.0
9,0,train_0212,12135.471156914784,10324.099859145928,82.40998591459284,0.0,12217.881142829377,15.08,0.56,0.0,0.0,5.0
10,0,train_0498,12300.435626842785,10573.845692066556,107.38456920665558,0.0,12407.82019604944,14.92,0.58,0.0,0.0,5.0
11,0,train_0474,12404.6081832738,10760.106404427788,126.01064044277882,0.0,12530.618823716579,15.06,0.52,0.0,0.0,5.0
12,0,train_0422,12460.560060703974,10687.804761733938,118.78047617339381,0.0,12579.340536877367,15.14,0.54,0.0,0.0,5.0
13,0,train_0543,12648.065670971962,10637.286972921767,113.72869729217673,0.0,12761.79436826414,16.2,0.5,0.0,0.0,5.0
14,0,train_0432,12369.681423453483,10271.734577267971,77.1734577267971,0.0,12446.85488118028,15.4,0.82,0.0,0.0,5.0
15,0,train_0106,12634.16852500708,10787.47726265248,128.7477262652479,0.0,12762.916251272329,18.04,0.52,0.0,0.0,5.0
16,0,train_0515,12029.031422250708,10541.53205902404,104.15320590240408,0.0,12133.184628153112,17.46,0.62,0.0,0.0,5.0
17,0,train_0391,12281.899954382543,10380.953841073639,88.09538410736387,0.0,12369.995338489907,15.36,0.7,0.0,0.0,5.0
18,0,train_0059,12484.806904328514,10683.85623111252,118.38562311125207,0.0,12603.192527439765,14.6,0.7,0.0,0.0,5.0
19,0,train_0178,12224.804638355004,10184.204792925231,68.42047929252313,0.0,12293.225117647527,15.78,0.58,0.0,0.0,5.0
20,0,train_0099,12158.218815035281,9968.20549076097,46.82054907609709,0.0,12205.039364111379,16.84,0.52,0.0,0.0,5.0
21,0,train_0580,12849.396202332495,10584.32805980145,108.43280598014499,0.0,12957.82900831264,16.1,0.66,0.0,0.0,5.0
22,0,train_0436,12427.789288634565,10586.78755812954,108.67875581295394,0.0,12536.46804444752,16.62,0.8,0.0,0.0,5.0
23,0,train_0551,12059.413095800319,10160.930315288177,66.09303152881766,0.0,12125.506127329136,14.96,0.62,0.0,0.0,5.0
24,0,train_0169,12082.59958005872,10202.135940736542,70.21359407365416,0.0,12152.813174132374,15.96,0.64,0.0,0.0,5.0
25,0,train_0381,12037.432963427571,10251.973389135044,75.19733891350442,0.0,12112.630302341075,15.52,0.64,0.0,0.0,5.0
26,0,train_0362,12106.13962174869,10256.924517395515,75.69245173955152,0.0,12181.832073488242,15.78,0.66,0.0,0.0,5.0
27,0,train_0451,12885.792911882687,10424.216200054365,92.4216200054365,0.0,12978.214531888123,17.48,0.74,0.0,0.0,5.0
28,0,train_0070,11781.172322616832,10096.45471046647,59.645471046647074,0.0,11840.81779366348,14.86,0.54,0.0,0.0,5.0
29,0,train_0309,12390.343968546007,10439.716303943986,93.97163039439857,0.0,12484.315598940406,14.44,0.66,0.0,0.0,5.0
30,0,train_0386,12388.876761070347,10326.29636820436,82.62963682043592,0.0,12471.506397890784,15.1,0.62,0.0,0.0,5.0
31,0,train_0495,12069.658884074812,10619.687985594277,111.96879855942771,0.0,12181.62768263424,19.12,0.82,0.0,0.0,5.0
32,0,train_0393,12195.160680697945,10608.190627609638,110.81906276096379,0.0,12305.979743458909,13.52,0.54,0.0,0.0,5.0
33,0,train_0269,11904.085872218377,9822.672243333673,32.26722433336727,0.0,11936.353096551744,14.62,0.56,0.0,0.0,5.0
34,0,train_0276,12086.314598332332,10330.819922444978,83.08199224449783,0.0,12169.39659057683,13.42,0.72,0.0,0.0,5.0
35,0,train_0203,12688.793426520984,10869.30296576551,136.93029657655097,0.0,12825.723723097535,14.56,0.56,0.0,0.0,5.0
